species,stateProvince,locality,fecha,month,decimalLatitude,decimalLongitude,individualCount
Streptopelia turtur,Extremadura,Corchuelas-17,2017-05-26,5,39.815205,-5.939848,2.0
Streptopelia turtur,Andalucía,Llanos de Abrucena,2017-07-14,7,37.16964,-2.79579,10.0
Streptopelia turtur,Illes Baleares,Parc Nacional de l'Arxipèlag de Cabrera,2017-05-05,5,39.142498,2.938875,7.0
Streptopelia turtur,Illes Baleares,"Sa Talaia,Sant Josep,Eivissa.",2017-05-19,5,38.909,1.27,0.0
Streptopelia turtur,Aragón,Vistabella--Río Huerva,2017-07-02,7,41.214973,-1.132893,0.0
Streptopelia turtur,Castilla y León,Alberguería de Argañán--Rivera de la Fresneda,2017-07-18,7,40.417805,-6.809629,2.0
Streptopelia turtur,Castilla y León,Topas--Monte de San Cristóbal,2017-08-18,8,41.226036,-5.667638,3.0
Streptopelia turtur,Castilla y León,Arribes del Duero PNat--Rivera de Dos Casas,2017-07-01,7,40.820847,-6.771968,1.0
Streptopelia turtur,Andalucía,Río Andarax--Desembocadura,2017-09-18,9,36.811935,-2.429115,1.0
Streptopelia turtur,Castilla y León,Arribes del Duero PNat--Poblado del Salto de Saucelle,2017-05-01,5,41.04254,-6.804619,1.0
Streptopelia turtur,Extremadura,Llanos de Cáceres--General (use specific hotspot if possible),2017-05-06,5,39.431908,-6.198609,3.0
Streptopelia turtur,Illes Baleares,Reserva Natural de l'Albufereta,2017-04-19,4,39.8588,3.093097,0.0
Streptopelia turtur,Aragón,Laguna de Sariñena,2017-05-07,5,41.790447,-0.177627,0.0
Streptopelia turtur,Aragón,Ordesa PN--Gradas de Soaso,2017-04-11,4,42.637573,-0.0013,0.0
Streptopelia turtur,Cataluña,Delta del Llobregat PNat--Espais Naturals del Riu (Area General),2017-04-30,4,41.30586,2.120254,3.0
Streptopelia turtur,Andalucía,Cabo Gata PNat--Rambla Morales,2017-05-06,5,36.795506,-2.256617,0.0
Streptopelia turtur,Extremadura,San Rafael de Olivenza,2017-04-27,4,38.72389,-7.036958,1.0
Streptopelia turtur,Galicia,Fisterra--Cabo,2017-08-28,8,42.882607,-9.271731,0.0
Streptopelia turtur,Extremadura,38.685x-6.185 - 13 May 2017 10:14,2017-05-13,5,38.684807,-6.185121,1.0
Streptopelia turtur,Extremadura,ES-Extremadura - 38.77x-6.133 - 8 May 2017 09:59,2017-05-08,5,38.770016,-6.133089,1.0
Streptopelia turtur,Aragón,Zuera?--Cantera camino de las Marquesas,2017-05-20,5,41.903275,-0.678181,0.0
Streptopelia turtur,Castilla y León,Lagunas de Villalba,2017-05-05,5,41.676224,-3.770392,1.0
Streptopelia turtur,Illes Baleares,Parc Nacional de l'Arxipèlag de Cabrera,2017-05-05,5,39.142498,2.938875,7.0
Streptopelia turtur,Extremadura,Villar del Rey steppes,2017-05-11,5,39.094166,-6.826329,2.0
Streptopelia turtur,Valenciana Comunidad,Clot de Galvany--Ruta 1,2017-09-12,9,38.24348,-0.527027,1.0
Streptopelia turtur,Valenciana Comunidad,Clot de Galvany--Ruta 1,2017-05-20,5,38.24348,-0.527027,4.0
Streptopelia turtur,Castilla y León,Velilla De San Esteban,2017-05-06,5,41.582287,-3.329493,0.0
Streptopelia turtur,Illes Baleares,Parc Nacional de l'Arxipèlag de Cabrera,2017-05-04,5,39.142498,2.938875,7.0
Streptopelia turtur,Illes Baleares,Parc Nacional de l'Arxipèlag de Cabrera,2017-05-04,5,39.142498,2.938875,7.0
Streptopelia turtur,Illes Baleares,Santa Maria del Cami,2017-04-24,4,39.648674,2.774916,1.0
Streptopelia turtur,Navarra Comunidad Foral de,Mendigorría,2017-10-12,10,42.606674,-1.800728,0.0
Streptopelia turtur,Illes Baleares,Parc Nacional de l'Arxipèlag de Cabrera,2017-05-04,5,39.142498,2.938875,7.0
Streptopelia turtur,Illes Baleares,Parc Nacional de l'Arxipèlag de Cabrera,2017-05-06,5,39.142498,2.938875,7.0
Streptopelia turtur,Andalucía,Córdoba--Sotos de Albolafia,2017-05-15,5,37.874752,-4.780099,4.0
Streptopelia turtur,Andalucía,Doñana PN--El Acebuche,2017-04-16,4,37.04425,-6.568751,2.0
Streptopelia turtur,Illes Baleares,S`albufera,2017-04-24,4,39.80257,3.114679,2.0
