species,stateProvince,locality,fecha,month,decimalLatitude,decimalLongitude,individualCount
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,129.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-03,11,43.02716,-1.356211,232.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,150.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,10.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-03,11,43.02716,-1.356211,222.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,7.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,353.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,432.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-03,11,43.02716,-1.356211,490.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,12.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,21.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-15,10,43.02716,-1.356211,80.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,372.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-03,11,43.02716,-1.356211,23.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,81.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,65.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-03,11,43.02716,-1.356211,230.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,33.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,205.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,30.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,756.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,34.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,644.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-03,11,43.02716,-1.356211,54.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,320.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,216.0
Grus grus,Castilla-La Mancha,Laguna de Navaseca,2017-11-15,11,39.10148,-3.618,1.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-03,11,43.02716,-1.356211,240.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,18.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-03,11,43.02716,-1.356211,34.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,1140.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-03,11,43.02716,-1.356211,28.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,574.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,973.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-03,11,43.02716,-1.356211,145.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,49.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,421.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-03,11,43.02716,-1.356211,201.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,133.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,336.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,28.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,422.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,400.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,1164.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,265.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,127.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,550.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,94.0
Grus grus,Madrid Comunidad de,Colmenar Viejo--vertedero (acceso restringido),2017-02-26,2,40.664246,-3.728785,55.0
Grus grus,Castilla-La Mancha,Embalse de Rosarito--área general,2017-10-28,10,40.099693,-5.311405,0.0
Grus grus,Extremadura,Trujillo-R. Magasca(cañada real),2017-01-15,1,39.429626,-5.868163,52.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,360.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,235.0
Grus grus,Extremadura,Toril--Presa del Arroyo Porquerizo,2017-02-18,2,39.89359,-5.792767,250.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,6.0
Grus grus,Aragón,Guara PNat--Embalse de Vadiello,2017-02-28,2,42.24147,-0.278411,40.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-26,10,43.02716,-1.356211,115.0
Grus grus,Castilla y León,Candeleda--Embalse del Rincón,2017-12-02,12,40.10868,-5.196876,0.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,181.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,962.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,29.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,195.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,1413.0
Grus grus,Castilla y León,Candeleda--Embalse del Rincón,2017-11-29,11,40.10868,-5.196876,0.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,445.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,351.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,687.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,321.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,820.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,222.0
Grus grus,Madrid Comunidad de,Leganés--Parque Polvoranca,2017-11-15,11,40.325172,-3.79672,0.0
Grus grus,Extremadura,Berrocal entre Trujillo y Huertas de la Magdalena,2017-01-06,1,39.462208,-5.893433,28.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,542.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,379.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,891.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,550.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,77.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,272.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,31.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,422.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,702.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-26,10,43.02716,-1.356211,39.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,55.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-15,11,43.02716,-1.356211,2.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,96.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,70.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,80.0
Grus grus,Extremadura,Berrocal entre Trujillo y Huertas de la Magdalena,2017-01-29,1,39.462208,-5.893433,15.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,360.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,21.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,100.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,125.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,277.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,445.0
Grus grus,Aragón,Castillo de Montearagón,2017-02-28,2,42.15211,-0.346574,1500.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,154.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,299.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,770.0
Grus grus,Cataluña,Delta del Llobregat (Cal Tet),2017-11-01,11,41.30273,2.121735,1.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,808.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,521.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,325.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,855.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,59.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,43.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,65.0
Grus grus,Extremadura,Moheda Alta--Arrozales de la Raña,2017-02-21,2,39.150764,-5.478124,0.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,62.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,165.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,666.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,355.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,7.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-01,11,43.02716,-1.356211,72.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,204.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,241.0
Grus grus,Valenciana Comunidad,El Hondo PNat--Ruta Roja,2017-11-19,11,38.200336,-0.761155,8.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-04,11,43.02716,-1.356211,32.0
